Headline,Primary,Secondary,Date,Day,Month,Year,Sentiment,SentimentPolarity,Emotion,Url
 Magodo crisis: Sanwo-Olu intervenes to meet feuding parties Wednesday ,Politics,Power,4-1-22,4,1,2022,Neutral,0.0,sadness,https://punchng.com/magodo-crisis-sanwo-olu-intervenes-to-meet-feuding-parties-wednesday/
 2023 presidency: Mimiko denies rumoured ambition to be Tambuwal's running mate ,Power,Politics,4-1-22,4,1,2022,Neutral,0.0,anticipation,https://punchng.com/2023-presidency-mimiko-denies-rumoured-ambition-to-be-tambuwals-running-mate/
 2023: Be involved for best candidates to emerge CSO urges Nigerians ,Information and Culture,Youth Development,4-1-22,4,1,2022,Positive,1.0,0,https://punchng.com/2023-be-involved-for-best-candidates-to-emerge-cso-urges-nigerians/
 UPDATED: Sanwo-Olu visits Magodo as residents protest invasion planned demolition ,Education,Crime,4-1-22,4,1,2022,Neutral,0.0,sadness,https://punchng.com/breaking-sanwo-olu-visits-magodo-as-residents-protest-invasion-planned-demolition/
 INEC issues notice of election for Ekiti 2022 ,Politics,Education,4-1-22,4,1,2022,Neutral,0.0,0,https://punchng.com/inec-issues-notice-of-election-for-ekiti-2022/
 Akwa Ibom govt bans activities of scavengers ,Education,Politics,4-1-22,4,1,2022,Neutral,0.0,0,https://punchng.com/akwa-ibom-govt-bans-activities-of-scavengers/
 AFCON: 23 players arrive Super Eagles camp Ighalo four others expected ,Sports,Youth Development,4-1-22,4,1,2022,Positive,0.1,anticipation,https://punchng.com/afcon-23-players-arrive-super-eagles-camp-ighalo-four-others-expected/
 Better days await us Akeredolu assures Ondo workers ,Youth Development,Health,4-1-22,4,1,2022,Positive,0.5,anticipation,https://punchng.com/better-days-await-us-akeredolu-assures-ondo-workers/
 Increased education funding key to recovering learning post-COVID-19  ,Education,Health,4-1-22,4,1,2022,Neutral,0.0,anticipation,https://punchng.com/increased-education-funding-key-to-recovering-learning-post-covid-19/
 IPOB to create Education Department to teach Igbo history in schools ,Education,Politics,4-1-22,4,1,2022,Neutral,0.0,joy,https://punchng.com/ipob-to-create-education-department-to-teach-igbo-history-in-schools/
 Buhari appoints Doyin Salami chief economic adviser ,Health,Administrative,4-1-22,4,1,2022,Positive,0.2,anticipation,https://punchng.com/breaking-buhari-appoints-doyin-salami-chief-economic-adviser/
 IPOB confirms banning national anthem use of cows at ceremonies ,Sports,Education,4-1-22,4,1,2022,Neutral,0.0,0,https://punchng.com/ipob-confirms-banning-national-anthem-use-of-cows-at-ceremonies/
 Imo killings: Blame army police Uzodinma not ESN says IPOB ,Crime,Politics,4-1-22,4,1,2022,Neutral,0.0,fear,https://punchng.com/imo-killings-blame-army-police-uzodinma-not-esn-says-ipob/
 What I learnt on Facebook ,Information and Culture,Education,4-1-22,4,1,2022,Neutral,0.0,0,https://punchng.com/what-i-learnt-on-facebook/
 Sane Upamecano join Bayern's COVID-19 casualty list ,Politics,Legal,4-1-22,4,1,2022,Neutral,0.0,anticipation,https://punchng.com/sane-upamecano-join-bayerns-covid-19-casualty-list/
 Wike berates Ogoni leaders says 'check your conscience' ,Information and Culture,Politics,4-1-22,4,1,2022,Neutral,0.0,anticipation,https://punchng.com/wike-berates-ogoni-leaders-says-check-your-conscience/
 Nine killed five injured in Kaduna bandit attacks — Commissioner ,Youth Development,Crime,4-1-22,4,1,2022,Negative,-0.2,sadness,https://punchng.com/nine-killed-five-injured-in-kaduna-bandit-attacks-commissioner/
 Southern Cameroonians protest Nigeria's repatriation of 49 asylum-seeking refugees ,Education,Politics,4-1-22,4,1,2022,Neutral,0.0,0,https://punchng.com/southern-cameroonians-protest-nigerias-repatriation-of-49-asylum-seeking-refugees/
 Ogun to sanction private school owners over admission of expelled students ,Education,Sports,4-1-22,4,1,2022,Neutral,0.0,trust,https://punchng.com/ogun-to-sanction-private-school-owners-over-admission-of-expelled-students/
 You're behind banditry Matawalle'll not resign APC replies PDP ,Politics,Information and Culture,4-1-22,4,1,2022,Negative,-0.4,anger,https://punchng.com/youre-behind-banditry-matawallell-not-resign-apc-replies-pdp/
 Uzodinma's govt embarrassment to Imo people —Okorocha's spokesperson ,Environment,Politics,4-1-22,4,1,2022,Neutral,0.0,fear,https://punchng.com/uzodinmas-govt-embarrassment-to-imo-people-okorochas-spokesperson/
 Lukaku apologises returns to Chelsea squad ,Sports,Youth Development,4-1-22,4,1,2022,Neutral,0.0,0,https://punchng.com/lukaku-apologises-returns-to-chelsea-squad/
 Police await autopsy after suspicious murder in Akwa Ibom hotel ,Youth Development,Crime,4-1-22,4,1,2022,Neutral,0.0,sadness,https://punchng.com/police-await-autopsy-after-suspicious-murder-in-akwa-ibom-hotel/
 Police CSP deployed to Magodo by Malami IGP defies Sanwo-Olu openly ,Legal,Power,4-1-22,4,1,2022,Neutral,0.0,0,https://punchng.com/breaking-police-csp-deployed-to-magodo-by-malami-igp-defies-sanwo-olu-openly/
 LASTMA denies assault of bus driver ,Youth Development,Transportation,4-1-22,4,1,2022,Neutral,0.0,anger,https://punchng.com/lastma-denies-assault-of-bus-driver/
 Singer Duncan Mighty survives as car plunges into river ,Youth Development,Power,5-1-22,5,1,2022,Positive,0.4,0,https://punchng.com/singer-duncan-mighty-survives-as-car-plunges-into-river/
 2023: Buhari speaks on his 'favourite' presidential candidate ,Politics,Education,5-1-22,5,1,2022,Neutral,0.0,anticipation,https://punchng.com/2023-buhari-speaks-on-his-favourite-presidential-candidate/
 Magodo: Lagos govt agrees to give judgment creditors land ,Education,Politics,5-1-22,5,1,2022,Neutral,0.0,surprise,https://punchng.com/magodo-lagos-govt-agrees-to-give-judgment-creditors-land/
 Magodo: 'Lagos should have implemented S'Court verdict since 2012' Malami slams South-West govs ,Politics,Education,5-1-22,5,1,2022,Neutral,0.0,fear,https://punchng.com/magodo-lagos-should-have-implemented-scourt-verdict-since-2012-malami-slams-south-west-govs/
 Nnamdi Kanu should defend himself in court I can’t release him – Buhari ,Defense,Legal,5-1-22,5,1,2022,Neutral,0.0,fear,https://punchng.com/breaking-nnamdi-kanu-should-defend-himself-in-court-i-cant-release-him-buhari/
 Eight-year-old girl dies after wind blows bouncy castle into air in Spain ,Youth Development,Power,5-1-22,5,1,2022,Neutral,0.0,0,https://punchng.com/eight-year-old-girl-dies-after-wind-blows-bouncy-castle-into-air-in-spain/
 Attack on Emirs: Forgive us Dogara's kinsmen beg Bauchi gov royal fathers ,Power,Youth Development,5-1-22,5,1,2022,Neutral,0.0,sadness,https://punchng.com/attack-on-emirs-forgive-us-dogaras-kinsmen-beg-bauchi-gov-royal-fathers/
 Oyetola condoles with Omisore over father's death ,Youth Development,Crime,5-1-22,5,1,2022,Neutral,0.0,trust,https://punchng.com/oyetola-condoles-with-omisore-over-fathers-death/
 Ogun PDP faction rejects Adebutu endorses Atiku's ex-spokesman for Gov ,Politics,Education,5-1-22,5,1,2022,Neutral,0.0,anger,https://punchng.com/ogun-pdp-faction-rejects-adebutu-endorses-atikus-ex-spokesman-for-gov/
